id,name,keyword,area,experience,employment,schedule,url,requirement,responsibility
120277951,Data Scientist (Стажёр),Data Scientist,Москва,Нет опыта,Проектная работа,Гибкий график,https://hh.ru/vacancy/120277951,"Для этого необходимо уметь? Уверенная работа с python: pandas, numpy, sklearn, PyTorch, matplotib и аналогов. Базовые знания SQL и NoSQL...",Автоматизацию процесса разметки текстовых документов. Интеллектуальную генерацию производной информации на основе текстовых документов. Разработку специализированных метрик измерения информационных свойств текстовых...
120199596,Аналитик данных (Data Analyst),Data Scientist,Ташкент,От 1 года до 3 лет,Полная занятость,Полный день,https://hh.ru/vacancy/120199596,"Опыт работы c СУБД: MS SQL, ClickHouse, PostgreSQL. Опыт работы со стеком Big <highlighttext>Data</highlighttext>: HiveQL, Hadoop, Spark SQL, Apache AirFlow. ","Взаимодействие с заказчиком и командой <highlighttext>Data</highlighttext> Engineers/<highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext>. Проверка гипотез (продуктовые, антифрод). Проектирование логической модели базы данных (ERD). "
120220633,Дата Саентист (Data Scientist),Data Scientist,Москва,От 3 до 6 лет,Полная занятость,Полный день,https://hh.ru/vacancy/120220633,Опыт и навыки: Опыт работы от 3х лет в области ML/<highlighttext>Data</highlighttext> Science. Понимание классических алгоритмов машинного обучения и...,Обработка больших массивов данных: очистка и трансформация. Анализ данных и выявление закономерностей. Разработка и внедрение прогнозных моделей для определения цен...
120103301,Middle data scientist (маркетинг),Data Scientist,Москва,От 1 года до 3 лет,Полная занятость,Удаленная работа,https://hh.ru/vacancy/120103301,"Опыт работы с Python и ML моделями от 1 года. Уверенное владение Python (Pandas, Numpy, LightGBM, Scikit-learn и т...",Выполнение полного цикла разработки ML-моделей для различных направлений деятельности банка. Сбор и анализ данных из разных источников. 
120262389,Data Scientist в Департамент кредитных рисков,Data Scientist,Алматы,От 1 года до 3 лет,Полная занятость,Полный день,https://hh.ru/vacancy/120262389,"Высшее образование. Опыт в оценке кредитных рисков, расчете стоимости риска и понимание того, как макроэкономические факторы могут влиять на потери. ","Построение моделей (модели PD, LGD, EAD, а также моделей прогнозирования дефолтов на основе ML-алгоритмов). Расчет риск-премий, COR и..."
119892956,Директор департамента Информационных Технологий,Data Scientist,Москва,Более 6 лет,Полная занятость,Полный день,https://hh.ru/vacancy/119892956,...<highlighttext>Data</highlighttext> Governance и <highlighttext>Data</highlighttext> Quality. Опыт внедрения решений для реального времени (Real-time Analytics). Опыт руководящей работы в IT/<highlighttext>DATA</highlighttext>...,"Руководство командой <highlighttext>data</highlighttext>-специалистов (<highlighttext>Data</highlighttext> Engineers, BI/Analytics, <highlighttext>Data</highlighttext> <highlighttext>Scientists</highlighttext>). Внедрение лучших практик работы с данными (DataOps, <highlighttext>Data</highlighttext> Mesh). "
120228853,Data Scientist,Data Scientist,Нижний Новгород,От 1 года до 3 лет,Полная занятость,Удаленная работа,https://hh.ru/vacancy/120228853,"Проектный опыт работы с временными рядами. ​​уверенное владение Python и SQL. Навыки работы с sklearn, pandas, plotly, LightGBM, CatBoost, prophet. ","Time Series Forecasting (ритейл: прогноз продаж, прогноз количества заказов). Анализировать и визуализировать данные, выявлять закономерности, представлять результаты. Предлагать и проводить..."
119546574,Head of Analytics / Руководитель отдела аналитики,Data Scientist,Москва,От 3 до 6 лет,Полная занятость,Полный день,https://hh.ru/vacancy/119546574,"Опыт управления 5+ людьми от 1 года. Глубокие знания в области аналитики, статистического анализа и моделирования. Уверенное владение инструментами...","Управление диверсифицированной командой: Руководство аналитическим подразделением, состоящим из <highlighttext>data</highlighttext> analysts, product analysts и <highlighttext>data</highlighttext> <highlighttext>scientists</highlighttext> (общая численность – 7 человек), обеспечение..."
118570463,Младший специалист по анализу данных / Junior Data Scientist,Data Scientist,Москва,От 1 года до 3 лет,Полная занятость,Удаленная работа,https://hh.ru/vacancy/118570463,Опыт моделирования и/или работы с данными в рабочих или академических проектах. Владение Python или R и соответствующими библиотеками для...,Построение регрессионных моделей на бизнес-данных: ETL – выгрузка и загрузка данных. Preprocessing – предобработка данных. Feature Engineering – формирование предикторов. 
120240958,Data Scientist/Дата-сайентист,Data Scientist,Москва,От 3 до 6 лет,Полная занятость,Удаленная работа,https://hh.ru/vacancy/120240958,"Есть знания принципов работы риск-менеджмента и инструментов влияния через DS сервисы: Cost of risk, Decision cost, EL, PD. ","д. Разработка e2e <highlighttext>data</highlighttext>-сервисов на основе ML-моделей с целью максимизации LTV клиента: кросс-продажи, борьба с..."
120170331,Data Scientist,Data Scientist,Алматы,От 1 года до 3 лет,Полная занятость,Полный день,https://hh.ru/vacancy/120170331,"Образование и опыт: Высшее образование (бакалавр или выше) в области математики, статистики, компьютерных наук, инженерии или смежных дисциплин. ","Проведение анализа клиентской базы, построение моделей машинного обучения (ML), включая: Сегментацию клиентов. Оценку жизненной ценности клиента (LTV). Разработка и усовершенствование..."
120283699,Data Scientist Junior+,Data Scientist,Москва,От 1 года до 3 лет,Полная занятость,Полный день,https://hh.ru/vacancy/120283699,Высшее образование. Предпочтительные направления: математика/информатика/статистика. Знания базовых понятий статистики и методов математического анализа данных. Опыт работы в сфере...,Анализ процессов подразделений: участие в изучении и подготовке предложений по автоматизации рабочих процессов различных подразделений Фонда (наши заказчики). 
120280760,Data Scientist (Machine learning (ML) engineer,Data Scientist,Ташкент,От 1 года до 3 лет,Полная занятость,Полный день,https://hh.ru/vacancy/120280760,Опыт работы в роли <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext> / ML Engineer от 1 года. Знание и практическое применение алгоритмов: Gradient Boosting. Random Forest. ,1. Работа над широким спектром ML-задач по различным банковским продуктам: Аппликацонный скоринг. Поведенческий скоринг. Оценка дохода клиента. Uplift-моделирование. 
120210942,Data Scientist,Data Scientist,Москва,От 3 до 6 лет,Полная занятость,Удаленная работа,https://hh.ru/vacancy/120210942,"Уверенное владение Python и SQL. Знание ML (алгоритмы, метрики) и опыт работы с ML-библиотеками. Знание классических алгоритмов и структур...","Разработка и тестирование новых признаков, интерпретируемых и не интерпретируемых (эмбеддингов). Создание метрик оценки качества <highlighttext>data</highlighttext>-продуктов. Построение пред-продакшен пайплайнов..."
120046731,Project manager IT,Data Scientist,Москва,От 3 до 6 лет,Полная занятость,Удаленная работа,https://hh.ru/vacancy/120046731,"Опыт управления IT-проектами, предпочтительно в области разработки чат-ботов. Умение выявлять и формулировать требования клиента, расставлять приоритеты и эффективно...","Руководство проектными командами, включающими разработчиков, дизайнеров, <highlighttext>data</highlighttext> <highlighttext>scientists</highlighttext> и бизнес-аналитиков. Ведение проектной документации (блок-схемы, календарные планы, пользовательские требования..."
119906328,Бизнес аналитик,Data Scientist,Москва,От 3 до 6 лет,Полная занятость,Удаленная работа,https://hh.ru/vacancy/119906328,Опыт на позиции бизнес-аналитика в ИТ компании от 3 лет. Образование Математика/физика/ИТ/техническое. Опыт работы с промышленными...,Детальная разработка функционала решения. Совместная с <highlighttext>data</highlighttext>-<highlighttext>scientist</highlighttext> разработка CV-моделей и аналитических моделей. Самостоятельная разработка аналитических моделей. 
119335326,Junior HFT Quant Trader / Data Scientist Orion Systematic,Data Scientist,Москва,От 1 года до 3 лет,Полная занятость,Полный день,https://hh.ru/vacancy/119335326,"3. At least 1 year of experience in <highlighttext>data</highlighttext> analysis. 4. Strong analytical skills, critical mindset. 5. Experience in working...","As a Junior HFT Quant Trader / <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext> you will get a chance to sit by a Senior Quant, assist..."
119411323,Инженер АСУТП,Data Scientist,Уфа,Более 6 лет,Полная занятость,Полный день,https://hh.ru/vacancy/119411323,"Продвинутый пользователь ПК и программ MS Office (в особенности Excel). <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext> уровня junior (знания реляционных БД, Python в части...","Внедрение систем автоматизации: настройка, конфигурирование, проведение испытаний, техническое обучение специалистов Заказчика, запуск в промышленную эксплуатацию. Поиск и наполнение объектов справочной..."
